id,dep,nom_simple,nom,nom_espace,nom_reel,long,lat
126,1,chapelle-du-chatelard,LA CHAPELLE-DU-CHATELARD,la chapelle du chatelard,La Chapelle-du-Châtelard,5.03333,46.0667
127,1,saint-jean-de-niost,SAINT-JEAN-DE-NIOST,saint jean de niost,Saint-Jean-de-Niost,5.21667,45.8333
128,1,savigneux-01,SAVIGNEUX,savigneux,Savigneux,4.85,46
129,1,nattages,NATTAGES,nattages,Nattages,5.76667,45.7333
130,1,saint-benoît-01,SAINT-BENOIT,saint benoit,Saint-Benoît,5.58333,45.7
131,1,douvres,DOUVRES,douvres,Douvres,5.36667,45.9833
132,1,francheleins,FRANCHELEINS,francheleins,Francheleins,4.8,46.0667
133,1,dortan,DORTAN,dortan,Dortan,5.66667,46.3167
134,1,saint-germain-les-paroisses,SAINT-GERMAIN-LES-PAROISSES,saint germain les paroisses,Saint-Germain-les-Paroisses,5.61667,45.7667
135,1,miribel-01,MIRIBEL,miribel,Miribel,4.95306,45.8245
136,1,lancrans,LANCRANS,lancrans,Lancrans,5.83333,46.1333
137,1,echenevex,ECHENEVEX,echenevex,Échenevex,6.03333,46.3167
138,1,saint-jean-sur-veyle,SAINT-JEAN-SUR-VEYLE,saint jean sur veyle,Saint-Jean-sur-Veyle,4.91667,46.25
139,1,billiat,BILLIAT,billiat,Billiat,5.78333,46.0667
140,1,abergement-de-varey,L'ABERGEMENT-DE-VAREY,l abergement de varey,L'Abergement-de-Varey,5.41667,46
141,1,villeneuve-01,VILLENEUVE,villeneuve,Villeneuve,4.83667,46.0212
142,1,villars-les-dombes,VILLARS-LES-DOMBES,villars les dombes,Villars-les-Dombes,5.01667,46
143,1,thezillieu,THEZILLIEU,thezillieu,Thézillieu,5.6,45.8833
144,1,saint-etienne-sur-reyssouze,SAINT-ETIENNE-SUR-REYSSOUZE,saint etienne sur reyssouze,Saint-Étienne-sur-Reyssouze,5,46.4
145,1,souclin,SOUCLIN,souclin,Souclin,5.41667,45.8667
146,1,saint-just-01,SAINT-JUST,saint just,Saint-Just,5.28,46.1903
147,1,civrieux,CIVRIEUX,civrieux,Civrieux,4.88333,45.9167
148,1,argis,ARGIS,argis,Argis,5.48333,45.9333
149,1,talissieu,TALISSIEU,talissieu,Talissieu,5.71667,45.8667
150,1,birieux,BIRIEUX,birieux,Birieux,5.03333,45.95
151,1,saint-julien-sur-veyle,SAINT-JULIEN-SUR-VEYLE,saint julien sur veyle,Saint-Julien-sur-Veyle,4.95,46.2
152,1,thoiry-01,THOIRY,thoiry,Thoiry,5.97973,46.2364
153,1,laiz,LAIZ,laiz,Laiz,4.88333,46.25
154,1,cressin-rochefort,CRESSIN-ROCHEFORT,cressin rochefort,Cressin-Rochefort,5.76667,45.7667
