id,dep,name,long,lat
360,1,villette sur ain,5.26862,45.9884
361,1,dagneux,5.06667,45.85
362,1,boissey,5,46.3833
363,1,salavre,5.35,46.3667
364,1,brion,5.55251,46.1728
365,1,labalme,5.48333,46.1
366,1,sauverny,6.11667,46.3167
367,1,montceaux,4.8,46.1
368,1,brenod,5.6,46.0667
369,1,miserieux,4.81667,45.9833
370,1,prevessin moens,6.08333,46.25
371,1,lent,5.2,46.1167
372,1,marsonnas,5.06667,46.3333
373,1,manziat,4.9,46.35
374,1,trevoux,4.76667,45.9333
375,1,bellegarde sur valserine,5.81667,46.1
376,1,bourg en bresse,5.21667,46.2
377,1,confort,5.81667,46.15
378,1,saint denis les bourg,5.2,46.2
379,1,massignieu de rives,5.76667,45.75
380,1,saint etienne sur chalaronne,4.86667,46.15
381,1,bohas meyriat rignat,5.4,46.1333
382,1,chevry,6.03333,46.2833
383,1,fareins,4.76667,46.0167
384,1,gorrevod,4.95,46.4167
385,1,valeins,4.86667,46.1167
386,1,vieu d izenave,5.53333,46.0833
387,1,toussieux,4.83333,45.9667
388,1,arbigny,4.96667,46.4667
389,1,malafretaz,5.15,46.3167
390,1,samognat,5.58333,46.25
391,1,cras sur reyssouze,5.16667,46.3
392,1,messimy sur saone,4.76473,46.0484
393,1,pougny,5.95,46.1333
394,1,sandrans,4.98333,46.0667
395,1,pont de veyle,4.88333,46.2667
396,1,mijoux,6,46.3667
397,1,saint jean de gonville,5.95,46.2167
398,1,saint andre le bouchoux,5.08333,46.1167
399,1,chaneins,4.85,46.1
400,1,joyeux,5.1,45.95
401,1,tramoyes,4.96667,45.8667
402,1,biziat,4.93333,46.2167
403,1,izenave,5.53333,46.0333
404,1,belmont luthezieu,5.66167,45.8795
405,1,arbent,5.68333,46.3
406,1,sutrieu,5.65,45.95
407,1,serrieres de briord,5.45445,45.8081
408,1,aranc,5.5,46
409,1,chaley,5.53333,45.95
410,1,curciat dongalon,5.15,46.4667
411,1,loyettes,5.2,45.7667
412,1,gex,6.06667,46.3333
413,1,courtes,5.1,46.4667
414,1,bereziat,5.05,46.3667
415,1,lapeyrouse,4.96667,45.9833
416,1,apremont,5.65833,46.2083
417,1,villieu loyes mollon,5.22223,45.9206
418,1,leyment,5.3,45.9167
419,1,etrez,5.18333,46.3333
420,2,gercy,3.86667,49.8167
421,2,villemontoire,3.33333,49.3
422,2,brancourt le grand,3.38333,49.9667
423,2,licy clignon,3.26667,49.1
424,2,proisy,3.73333,49.9
425,2,chambry,3.65,49.6
426,2,mont saint jean,4.2,49.7833
427,2,morgny en thierache,4.06667,49.7667
428,2,mesnil saint laurent,3.35,49.8333
429,2,annois,3.16667,49.7167
430,2,brunehamel,4.18333,49.7667
431,2,audignicourt,3.13333,49.4833
432,2,montigny sur crecy,3.58333,49.7167
433,2,lor,4.05,49.5333
434,2,chivres en laonnois,3.85,49.6333
435,2,saint gobain,3.38333,49.6
436,2,ugny le gay,3.16667,49.6667
437,2,happencourt,3.18333,49.7833
438,2,prouvais,3.98333,49.4667
439,2,azy sur marne,3.36667,49
440,2,terny sorny,3.36667,49.45
441,2,droizy,3.38333,49.2833
442,2,pignicourt,4.03333,49.4167
443,2,moussy verneuil,3.63333,49.4167
444,2,aguilcourt,3.96667,49.4
445,2,montaigu,3.83333,49.5333
446,2,moulins,3.68333,49.4167
447,2,saulchery,3.3,48.9833
448,2,nanteuil la fosse,3.45,49.4333
449,2,guignicourt,3.96667,49.4333
450,2,bucy le long,3.38333,49.4
451,2,longpont,3.21667,49.2667
