id,dep,upper_name,untrimmed_name,name,long,lat
21028,55,TILLY-SUR-MEUSE,tilly sur meuse,Tilly-sur-Meuse,5.43333,49
21029,55,COUSANCES-LES-TRICONVILLE,cousances les triconville,Cousances-lès-Triconville,5.38695,48.7645
21030,55,MENIL-AUX-BOIS,menil aux bois,Ménil-aux-Bois,5.45,48.8
21031,55,REMBERCOURT-SOMMAISNE,rembercourt sommaisne,Rembercourt-Sommaisne,5.17889,48.9103
21032,55,MONT-DEVANT-SASSEY,mont devant sassey,Mont-devant-Sassey,5.16667,49.4167
21033,55,MUZERAY,muzeray,Muzeray,5.61667,49.3333
21034,55,STENAY,stenay,Stenay,5.18333,49.4833
21035,55,LACHAUSSEE,lachaussee,Lachaussée,5.81667,49.0333
21036,55,VILLE-DEVANT-BELRAIN,ville devant belrain,Ville-devant-Belrain,5.33333,48.8667
21037,55,BURE,bure,Bure,5.35667,48.5048
21038,55,MONTIGNY-LES-VAUCOULEURS,montigny les vaucouleurs,Montigny-lès-Vaucouleurs,5.63333,48.5833
21039,55,FLEURY-DEVANT-DOUAUMONT,fleury devant douaumont,Fleury-devant-Douaumont,5.43445,49.195
21040,55,MECRIN,mecrin,Mécrin,5.53333,48.8167
21041,55,HORVILLE-EN-ORNOIS,horville en ornois,Horville-en-Ornois,5.46667,48.5
21042,55,MANHEULLES,manheulles,Manheulles,5.6,49.1167
21043,55,VAUCOULEURS,vaucouleurs,Vaucouleurs,5.66667,48.6
21044,55,MELIGNY-LE-PETIT,meligny le petit,Méligny-le-Petit,5.46667,48.6667
21045,55,VAUBECOURT,vaubecourt,Vaubecourt,5.11667,48.9333
21046,55,AZANNES-ET-SOUMAZANNES,azannes et soumazannes,Azannes-et-Soumazannes,5.46667,49.3
21047,55,FROIDOS,froidos,Froidos,5.11667,49.05
21048,55,GRIMAUCOURT-EN-WOEVRE,grimaucourt en woevre,Grimaucourt-en-Woëvre,5.55,49.1667
21049,55,DONCOURT-AUX-TEMPLIERS,doncourt aux templiers,Doncourt-aux-Templiers,5.73333,49.0667
21050,55,ROMAGNE-SOUS-MONTFAUCON,romagne sous montfaucon,Romagne-sous-Montfaucon,5.08333,49.3333
21051,55,VILLOTTE-SUR-AIRE,villotte sur aire,Villotte-sur-Aire,5.35,48.85
21052,55,HAUMONT-PRES-SAMOGNEUX,haumont pres samogneux,Haumont-près-Samogneux,5.35251,49.2728
21053,55,HAN-SUR-MEUSE,han sur meuse,Han-sur-Meuse,5.53333,48.8667
21054,55,BAULNY,baulny,Baulny,5.01667,49.2667
21055,55,BRAS-SUR-MEUSE,bras sur meuse,Bras-sur-Meuse,5.38333,49.2167
21056,55,FUTEAU,futeau,Futeau,5,49.0833
21057,55,MONTPLONNE,montplonne,Montplonne,5.16667,48.7
21058,55,RARECOURT,rarecourt,Rarécourt,5.11667,49.0833
21059,55,GENICOURT-SUR-MEUSE,genicourt sur meuse,Génicourt-sur-Meuse,5.43333,49.0333
21060,55,WOEL,woel,Woël,5.73333,49.0333
21061,55,THILLOT,thillot,Thillot,5.66806,49.0262
21062,55,ROMAGNE-SOUS-LES-COTES,romagne sous les cotes,Romagne-sous-les-Côtes,5.48333,49.3167
21063,55,BENEY-EN-WOEVRE,beney en woevre,Beney-en-Woëvre,5.83333,48.9667
21064,55,AUTRECOURT-SUR-AIRE,autrecourt sur aire,Autrécourt-sur-Aire,5.13333,49.0333
21065,55,VILLERS-SUR-MEUSE,villers sur meuse,Villers-sur-Meuse,5.4,49.0167
21066,55,EIX,eix,Eix,5.5,49.1833
21067,55,VILLE-SUR-SAULX,ville sur saulx,Ville-sur-Saulx,5.06667,48.7167
21068,55,RICHECOURT,richecourt,Richecourt,5.76667,48.8833
21069,55,MAUVAGES,mauvages,Mauvages,5.55,48.6
21070,55,PIERREFITTE-SUR-AIRE,pierrefitte sur aire,Pierrefitte-sur-Aire,5.33333,48.9
21071,55,BRAUVILLIERS,brauvilliers,Brauvilliers,5.15,48.5833
21072,55,RUPT-DEVANT-SAINT-MIHIEL,rupt devant saint mihiel,Rupt-devant-Saint-Mihiel,5.41667,48.8833
21073,55,VILLERS-AUX-VENTS,villers aux vents,Villers-aux-Vents,5.01667,48.85
21074,55,BELLEVILLE-SUR-MEUSE,belleville sur meuse,Belleville-sur-Meuse,5.38333,49.1833
21075,55,MOIREY-FLABAS-CREPION,moirey flabas crepion,Moirey-Flabas-Crépion,5.40306,49.3062
21076,55,NAIVES-ROSIERES,naives rosieres,Naives-Rosières,5.21584,48.795
21077,55,FONTAINES-SAINT-CLAIR,fontaines saint clair,Fontaines-Saint-Clair,5.23333,49.3667
21078,55,MARTINCOURT-SUR-MEUSE,martincourt sur meuse,Martincourt-sur-Meuse,5.16667,49.5333
21079,55,BLANZEE,blanzee,Blanzée,5.53333,49.1667
21080,55,BROUSSEY-EN-BLOIS,broussey en blois,Broussey-en-Blois,5.55,48.6333
21081,55,PINTHEVILLE,pintheville,Pintheville,5.66667,49.1167
21082,55,WISEPPE,wiseppe,Wiseppe,5.16667,49.4667
21083,55,MARRE,marre,Marre,5.3,49.2
21084,55,CONTRISSON,contrisson,Contrisson,4.95,48.8
21085,55,DOMMARY-BARONCOURT,dommary baroncourt,Dommary-Baroncourt,5.7,49.2833
21086,55,MONTIGNY-DEVANT-SASSEY,montigny devant sassey,Montigny-devant-Sassey,5.15,49.4333
21087,55,SAINT-JEAN-LES-BUZY,saint jean les buzy,Saint-Jean-lès-Buzy,5.73333,49.1667
21088,55,VILLERS-LES-MANGIENNES,villers les mangiennes,Villers-lès-Mangiennes,5.5,49.3667
21089,55,LINY-DEVANT-DUN,liny devant dun,Liny-devant-Dun,5.2,49.35
21090,55,EUVILLE,euville,Euville,5.61667,48.75
21091,55,ETRAYE,etraye,Étraye,5.38333,49.3333
21092,55,SASSEY-SUR-MEUSE,sassey sur meuse,Sassey-sur-Meuse,5.18333,49.4167
21093,55,SAUDRUPT,saudrupt,Saudrupt,5.06667,48.7
21094,55,ESNES-EN-ARGONNE,esnes en argonne,Esnes-en-Argonne,5.21667,49.2167
21095,55,EPINONVILLE,epinonville,Épinonville,5.08333,49.2833
21096,55,ABAINVILLE,abainville,Abainville,5.5,48.5333
21097,55,BEZONVAUX,bezonvaux,Bezonvaux,5.4675,49.2367
21098,55,LION-DEVANT-DUN,lion devant dun,Lion-devant-Dun,5.21667,49.4167
21099,55,WARCQ,warcq,Warcq,5.65,49.1833
21100,55,TRESAUVAUX,tresauvaux,Trésauvaux,5.6,49.0833
21101,55,MAXEY-SUR-VAISE,maxey sur vaise,Maxey-sur-Vaise,5.66667,48.5333
21102,55,SAINT-AUBIN-SUR-AIRE,saint aubin sur aire,Saint-Aubin-sur-Aire,5.45,48.7
21103,55,MAIZERAY,maizeray,Maizeray,5.7,49.1
21104,55,GEVILLE,geville,Geville,5.69334,48.7712
21105,55,BIENCOURT-SUR-ORGE,biencourt sur orge,Biencourt-sur-Orge,5.35,48.5667
21106,55,RUPT-AUX-NONAINS,rupt aux nonains,Rupt-aux-Nonains,5.11667,48.6667
21107,55,EPIEZ-SUR-MEUSE,epiez sur meuse,Épiez-sur-Meuse,5.63333,48.55
21108,55,REMENNECOURT,remennecourt,Remennecourt,4.91667,48.8
21109,55,RANZIERES,ranzieres,Ranzières,5.5,49.0167
21110,55,SAINT-GERMAIN-SUR-MEUSE,saint germain sur meuse,Saint-Germain-sur-Meuse,5.68333,48.65
21111,55,MONTZEVILLE,montzeville,Montzéville,5.23333,49.1833
21112,55,VOID-VACON,void vacon,Void-Vacon,5.61806,48.6878
